trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,11,-86.39110025717106,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,13,-92.79984672306526,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,21,-62.05609411518577,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,18,-21.471339347445713,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,7,-89.9716608068046,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,7,-52.256596762980216,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,13,-183.92938409451293,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-190.1323322764951,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-67.88580633039147,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-47.42818985525489,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,19,2.9585494138103794,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-40.886050428009526,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,-33.78619450189977,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,17,11.381051774076226,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,15,-23.554312191123667,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,2,-34.88447418041602,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,12,-30.246626762177765,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,6,-71.13540587412925,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,4,-175.09813320597254,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 4}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-57.18583831206824,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,5,-73.08804170350285,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-34.314494848235974,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-48.738334405125805,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-12.389910714173114,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,3,-68.24537946366918,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,6,-43.81851190940053,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,6,-69.42607603276572,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,12,1.986219858584548,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-72.50575467432748,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-98.94064456824837,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
