trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.7408182206817179}",20,15,-14.28983643851656,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.5488116360940265}",20,0,-148.3712419749167,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.40656965974059917}",25,15,-142.51645712858448,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 3}",1
4,False,"{'a': 0.6, 'e': 0.30119421191220214}",25,0,-124.18462541533805,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.22313016014842987}",20,12,16.09834698310538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.1652988882215866}",20,0,-153.03190152170913,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",1
7,False,"{'a': 0.6, 'e': 0.12245642825298195}",20,7,6.850351317297877,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.09071795328941253}",35,21,-33.87682875630625,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.6, 'e': 0.06720551273974978}",25,0,-146.2184427959702,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.04978706836786396}",20,8,-12.562460243174064,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.036883167401240015}",20,0,-132.52787326199638,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.02732372244729257}",20,0,-76.90581646477983,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.020241911445804395}",30,0,-79.60600291192455,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.6, 'e': 0.014995576820477712}",30,18,-0.18655141986512813,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
